18.11;417.17
18.13;417.78
18.11;419.52
18.23;423.89
18.11;419.65
18.24;435.61
18.32;433.31
14.88;125.97
14.87;126.28
14.84;125.92
14.93;128.27
14.84;126.46
14.85;125.52
14.29;42.80
14.28;43.18
14.25;42.68
14.30;43.04
14.31;42.66
14.22;42.98
14.44;46.02
14.44;46.46
14.25;46.35
14.39;48.82
14.38;47.59
14.41;47.06
72.17;2989.52
71.41;2989.43
69.84;2989.43
122.18;2989.27
120.44;2989.36
116.27;2989.41
332.15;2989.53
331.48;2989.52
17.82;374.64
17.90;374.01
17.71;375.02
19.00;502.38
19.07;503.77
19.09;502.59
14.64;61.69
14.60;61.88
14.64;61.98
44.88;2952.22
43.89;2901.59
44.24;2941.82
24.69;1055.36
24.63;1053.98
24.78;1061.52
14.42;32.96
14.33;32.98
14.40;33.01
14.49;41.92
14.43;41.22
14.47;41.68
14.54;61.21
14.64;61.37
14.52;28.36
14.59;28.74
14.46;28.61
14.76;104.89
14.70;105.10
14.73;104.85
15.64;203.67
15.98;230.26
15.69;219.95
53.55;2989.31
53.67;2989.43
53.72;2989.42
40.79;2569.18
40.67;2562.55
40.94;2560.17
58.64;2989.61
58.79;2989.53
58.52;2989.55
